"name","iata_code","icao_code","callsign","country","active","headquarters","founded","fleet_size","destinations","alliance"
"Air Special","","ASX","AIRSPEC","Czech Republic",false,,,,,
"Aero Benin","EM","AEB","AEROBEN","Benin",false,,,,,
"Aerocesar","","AEC"," Aerovias Del Cesar","AEROCESAR",false,,,,,
"Aerotrans Airlines","","AED","","Russia",false,,,,,
"Aegean Airlines","A3","AEE","AEGEAN","Greece",true,,,,,
"Aerofumigaciones Sam","","AEG","FUMIGACIONES SAM","Chile",false,,,,,
"Aeroexpreso Interamericano","","AEI","INTERAM","Colombia",false,,,,,
"Air Express","","AEJ","KHAKI EXPRESS","Tanzania",false,,,,,
"Aerocon","","AEK","AEROCON","Bolivia",false,,,,,
"Aero Madrid","","AEM","AEROMADRID","Spain",false,,,,,
"Aeroenlaces Nacionales","","AEN","","Mexico",false,,,,,
"Aeroservicios Ejecutivos Del Occidente","","AEO","AERO OCCIDENTE","Mexico",false,,,,,
"Aerotec","","AEP","AEROTEC","Spain",false,,,,,
"Air Atlantique","KI","AAG","ATLANTIC","United Kingdom",true,,,,,
"Air Europe","PE","AEL","AIR EUROPE","Italy",true,,,,,
"Air Alma","","AAJ","AIR ALMA","Canada",false,,,,,
"Air Express","","AEQ","LUNA","Sweden",false,,,,,
"Alaska Central Express","KO","AER","ACE AIR","United States",true,,,,,
"ACES Colombia","","AES","ACES","Colombia",true,,,,,
"Aeronautical Radio of Thailand","","AET","AEROTHAI","Thailand",false,,,,,
"Astraeus","5W","AEU","FLYSTAR","United Kingdom",true,,,,,
"Aeroventas","","AEV","AEROVENTAS","Mexico",false,,,,,
"Aerosvit Airlines","VV","AEW","AEROSVIT","Ukraine",true,,,,,
"Airway Express","","AEX","AVCO","United States",false,,,,,
"Air Italy","I9","AEY","AIR ITALY","Italy",true,,,,,
"Aerial Transit Company","","AEZ","AERIAL TRANZ","United States",false,,,,,
"Alfa Air","","AFA","BLUE ALFA","Czech Republic",false,,,,,
"American Falcon","WK","AFB","AMERICAN FALCON","Argentina",true,,,,,
"Alliance Airlines","QQ","UTY","UNITY","Australia",false,,,,,
"Air Universal","","UVS","UNI-LEONE","Sierra Leone",false,,,,,
"Auvia Air","","UVT","AUVIA","Indonesia",false,,,,,
"African West Air","","AFC","AFRICAN WEST","Senegal",false,,,,,
"Airfast Indonesia","","AFE","AIRFAST","Indonesia",false,,,,,
"Ariana Afghan Airlines","FG","AFG","ARIANA","Afghanistan",true,,,,,
"Air Fecteau","","AFH","FECTO","Canada",false,,,,,
"Africaone","","AFI","AFRICAWORLD","Uganda",false,,,,,
"Alliance","","AFJ","JAMBO","Uganda",false,,,,,
"Africa Air Links","","AFK","AFRICA LINKS","Sierra Leone",false,,,,,
"Aeroflot Russian Airlines","SU","AFL","AEROFLOT","Russia",true,,,,,
"Aero Empresa Mexicana","","AFO","AERO EMPRESA","Mexico",false,,,,,
"Air Bosna","JA","BON","AIR BOSNA","Bosnia and Herzegovina",false,,,,,
"Air Bravo","","BRF","AIR BRAVO","Uganda",false,,,,,
"Air Brasd'or","","BRL","BRASD'OR","Canada",false,,,,,
"Air 500","","BRM","BOOMERANG","Canada",false,,,,,
