"name","iata_code","icao_code","callsign","country","active","headquarters","founded","fleet_size","destinations","alliance"
"Atlantic Airlines","","GBN","ATLANTIC GABON","Gabon",false,,,,,
"Aeronor","","GCF","AEROCARTO","Spain",false,,,,,
"Aerogem Cargo","","GCK","AEROGEM","Ghana",false,,,,,
"Aerovias del Golfo","","GFO","AEROVIAS GOLFO","Mexico",false,,,,,
"Aeronautica","","GGL","GIRA GLOBO","Angola",false,,,,,
"Air Georgian","ZX","GGN","GEORGIAN","Canada",true,,,,,
"Aviance","","GHL","HANDLING","United Kingdom",false,,,,,
"Air Ghana","","GHN","AIR GHANA","Ghana",false,,,,,
"African International Transport","","GIL","AFRICAN TRANSPORT","Guinea",false,,,,,
"Air Guinee Express","2U","GIP","FUTURE EXPRESS","Guinea",true,,,,,
"Africa Airlines","","GIZ","AFRILENS","Guinea",false,,,,,
"Air Gemini","","GLL","TWINS","Angola",false,,,,,
"Aero Charter","","GLT","GASLIGHT","United States",false,,,,,
"Aguilas Mayas Internacional","","GME","MAYAN EAGLES","Guatemala",false,,,,,
"Aerotaxis Guamuchil","","GMM","AEROGUAMUCHIL","Mexico",false,,,,,
"Aeroservicios Gama","","GMS","SERVICIOS GAMA","Mexico",false,,,,,
"Amber Air","0A","GNT","GINTA","Lithuania",false,,,,,
"Alberta Government","","GOA","ALBERTA","Canada",false,,,,,
"Air Scotland","","GRE","GREECE AIRWAYS","Greece",false,,,,,
"Air Georgia","DA","GRG","AIR GEORGIA","Georgia",true,,,,,
"Air Cargo Center","","GRI","","Sao Tome and Principe",false,,,,,
"Air Greenland","GL","GRL","GREENLAND","Denmark",false,,,,,
"Allegro","LL","GRO","ALLEGRO","Mexico",false,,,,,
"Agroar - Trabalhos Aereos","","GRR","AGROAR","Portugal",false,,,,,
"Aircompany Grodno","","GRX","GRODNO","Belarus",false,,,,,
"Airlift Alaska","","GSP","GREEN SPEED","United States",false,,,,,
"Agrocentr-Avia","","GSV","AGRAV","Kazakhstan",false,,,,,
"Altin Havayolu Tasimaciligi Turizm Ve Ticaret","","GTC","GOLDEN WINGS","Turkey",false,,,,,
"Atlas Air","5Y","GTI","GIANT","United States",true,,,,,
"Aerotaxi Grupo Tampico","","GTP","GRUPOTAMPICO","Mexico",false,,,,,
"Aerotaxis de Aguascalientes","","GUA","AGUASCALIENTES","Mexico",false,,,,,
"Air Guyane","GG","GUY","GREEN BIRD","French Guiana",false,,,,,
"Air Victoria Georgia","","GVI","IRINA","Georgia",false,,,,,
"Air D'Ayiti","H9","HAD","HAITI AVIA","Haiti",true,,,,,
"Air Taxi","","HAT","TAXI BIRD","France",false,,,,,
"Aerohein","","HEI","AEROHEIN","Chile",false,,,,,
"Atlantic Air Lift","","HGH","HIGHER","France",false,,,,,
"Atlantic Airlines de Honduras","","HHA","ATLANTIC HONDURAS","Honduras",false,,,,,
"Aviacion Ejecutiva De Hildago","","HID","EJECUTIVA HIDALGO","Mexico",false,,,,,
"Air Haiti","","HJA","AIRHAITI","Haiti",false,,,,,
"Al Rais Cargo","","HJT","AL-RAIS CARGO","United Arab Emirates",false,,,,,
"Air-Invest","","HKH","HAWKHUNGARY","Hungary",false,,,,,
"Air Tahoma","","HMA","TAHOMA","United States",false,,,,,
"Air Nova","","HMT","HAMILTON","Canada",false,,,,,
"Aero Homex","","HOM","AERO HOMEX","Mexico",false,,,,,
"Almiron Aviation","","HPO","ALMIRON","Uganda",false,,,,,
"Avinor","","HQO","","Norway",false,,,,,
"Airlink Airways","","HYR","HIGHFLYER","Ireland",false,,,,,
"AC Insat-Aero","","IAE","","Russia",false,,,,,
"Air Inter Cameroun","","ICM","INTER-CAMEROUN","Cameroon",false,,,,,
"Air Lift","","IFI","HELLAS LIFT","Greece",false,,,,,
"Aero Survey","","IKM","GHANA SURVEY","Ghana",false,,,,,
"Aero Airline","","ILK","ILEK","Kazakhstan",false,,,,,
"Airtime Charters","","IME","AIRTIME","United Kingdom",false,,,,,
"Aerotaxis Cimarron","","IMN","TAXI CIMARRON","Mexico",false,,,,,
"Aero International","","INA","AERO-NACIONAL","Mexico",false,,,,,
"Aeroingenieria","","ING","AEROINGE","Chile",false,,,,,
"Aeroservicios Intergrados de Norte","","INO","INTENOR","Mexico",false,,,,,
"Airpull Aviation","","IPL","IPULL","Spain",false,,,,,
"Arvand Airlines","","IRD","ARVAND","Iran",false,,,,,
"Atlas Aviation Group","","IRH","ATLAS AVIA","Iran",false,,,,,
"Aram Airline","","IRW","ARAM","Iran",false,,,,,
"Aria Tour","","IRX","ARIA","Iran",false,,,,,
"Aerotaxi","","ITE","AEROTAXI","Czech Republic",false,,,,,
"Avita-Servicos Aereos","","ITF","AIR AVITA","Angola",false,,,,,
"Aero Citro","","ITO","AERO CITRO","Mexico",false,,,,,
"Air Executive","","IVE","COMPANY EXEC","Spain",false,,,,,
"Aviainvest","","IWS","","Russia",false,,,,,
"Aerojal","","JAD","AEROJAL","Mexico",false,,,,,
"Airlink","","JAR","AIRLINK","Austria",false,,,,,
"Ambjek Air Services","","JEE","AMBJEK AIR","Nigeria",false,,,,,
"Avfinity","","UTX","","United States",false,,,,,
"Alexandair","","JMR","ALEXANDAIR","Canada",false,,,,,
"Air Jamaica Express","","JMX","JAMAICA EXPRESS","Jamaica",false,,,,,
"Air Swift Aviation","","JOA","","Australia",false,,,,,
"Aerojobeni","","JOB","JOBENI","Mexico",false,,,,,
"Atyrau Air Ways","IP","JOL","EDIL","Kazakhstan",true,,,,,
"Aerosmith Aviation","","JPR","JASPER","United States",false,,,,,
"Arrendamiento de Aviones Jets","","JTS","AVIONESJETS","Mexico",false,,,,,
"Aero Juarez","","JUA","JUAREZ","Mexico",false,,,,,
"Air Canada Jazz","QK","JZA","JAZZ","Canada",true,,,,,
"Asia Aero Survey and Consulting Engineers","","KAA","AASCO","Republic of Korea",false,,,,,
"Air Kirovograd","","KAD","AIR KIROVOGRAD","Ukraine",false,,,,,
"Air Mach","","KAM","ICO-AIR","Italy",false,,,,,
"Air Kufra","","KAV","AIRKUFRA","Libya",false,,,,,
"Arkhabay","","KEK","ARKHABAY","Kazakhstan",false,,,,,
"Aero Charter Krifka","","KFK","KRIFKA AIR","Austria",false,,,,,
"Air Kraft Mir","","KFT","AIR KRAFT MIR","Uzbekistan",false,,,,,
"Air Concorde","","KGD","CONCORDE AIR","Bulgaria",false,,,,,
"Alexandria Airlines","","KHH","","Egypt",false,,,,,
"Afit","","KIE","TWEETY","Germany",false,,,,,
"Air South","","KKB","KHAKI BLUE","United States",false,,,,,
"Atlasjet","KK","KKK","ATLASJET","Turkey",true,,,,,
"Air Mali International","","KLB","TRANS MALI","Mali",false,,,,,
"Aerokaluz","","KLZ","AEROKALUZ","Mexico",false,,,,,
"Air Koryo","JS","KOR","AIR KORYO","Democratic People's Republic of Korea",true,,,,,
"Araiavia","","KOY","ALEKS","Kazakhstan",false,,,,,
"AeroSucre","","KRE","AEROSUCRE","Colombia",false,,,,,
"Air Kokshetau","","KRT","KOKTA","Kazakhstan",false,,,,,
"Air Kissari","","KSI","KISSARI","Angola",false,,,,,
"Aeronavigaciya","","KTN","AERONAVIGACIYA","Ukraine",false,,,,,
"Alliance Avia","","KVR","KAVAIR","Kazakhstan",false,,,,,
"Av Atlantic","","KYC","DOLPHIN","United States",false,,,,,
"Air Astana","KC","KZR","ASTANALINE","Kazakhstan",true,,,,,
"Aerovias De Lagos","","LAG","AEROLAGOS","Mexico",false,,,,,
"Albanian Airlines","LV","LBC","ALBANIAN","Albania",true,,,,,
"Albisa","","LBI","ALBISA","Mexico",false,,,,,
"Albatros Airways","","LBW","ALBANWAYS","Albania",false,,,,,
"Aerolineas Aereas Ejecutivas De Durango","","LDG","DURANGO","Mexico",false,,,,,
"Aerologic","","LDL","","Russia",false,,,,,
"Al-Donas Airlines","","LDN","ALDONAS AIR","Nigeria",false,,,,,
"Aero Lider","","LDR","AEROLIDER","Mexico",false,,,,,
"Aleem","","LEM","","Egypt",false,,,,,
"Aerolineas Ejecutivas","","LET","MEXEJECUTIV","Mexico",false,,,,,
"Air Alfa","","LFA","","Turkey",true,,,,,
"Aero Control Air","","LFC","LIFE FLIGHT CANADA","Canada",false,,,,,
"Aerolaguna","","LGN","AEROLAGUNA","Mexico",false,,,,,
"Al Ahram Aviation","","LHR","AL AHRAM","Egypt",false,,,,,
"Alidaunia","D4","LID","ALIDA","Italy",false,,,,,
"Al-Dawood Air","","LIE","AL-DAWOOD AIR","Nigeria",false,,,,,
"American Aviation","","LKP","LAKE POWELL","United States",false,,,,,
"Airlink Solutions","","LKS","AIRLIN","Spain",false,,,,,
"Air Solutions","","LKY","LUCKY","United States",false,,,,,
"Alliance Air","CD","LLR","ALLIED","India",true,,,,,
"Aerolima","","LMA","AEROLIMA","Mexico",false,,,,,
"Alamia Air","","LML","ALAMIA AIR","Libya",false,,,,,
"Air Plus Argentina","","LMP","AIR FLIGHT","Argentina",false,,,,,
"Almaty Aviation","","LMT","ALMATY","Kazakhstan",false,,,,,
"Aerolineas Mexicanas J S","","LMX","LINEAS MEXICANAS","Mexico",false,,,,,
"Air Almaty","","LMY","AGLEB","Kazakhstan",false,,,,,
"Air Almaty ZK","","LMZ","ALUNK","Kazakhstan",false,,,,,
"Aerolane","XL","LNE","LAN ECUADOR","Ecuador",true,,,,,
"Airlink","","LNK","LINK","South Africa",false,,,,,
"Aerolineas Internacionales","","LNT","LINEAINT","Mexico",false,,,,,
"Alok Air","","LOK","ALOK AIR","Sudan",false,,,,,
"Air Saint Louis","","LOU","AIR SAINTLOUIS","Senegal",false,,,,,
"Alpine Aviation","","LPC","NETSTAR","South Africa",false,,,,,
"Air Alps Aviation","A6","LPV","ALPAV","Austria",true,,,,,
"Alrosa-Avia","","LRO","ALROSA","Russia",false,,,,,
"Al Rida Airways","","LRW","AL RIDA","Mauritania",false,,,,,
"Aurela","","LSK","AURELA","Lithuania",false,,,,,
"Aerobusinessservice","","LSM","","Russia",false,,,,,
"Alsair","","LSR","ALSAIR","France",false,,,,,
"Aerotaxis Latinoamericanos","","LTI","LATINO","Mexico",false,,,,,
"Alninati Aeronautics","","LUC","STEF","Switzerland",false,,,,,
"Atlantis European Airways","TD","LUR","TULIPAIR","Armenia",false,,,,,
"Aliven","","LVN","ALIVEN","Italy",false,,,,,
"Aviavilsa","","LVR","AVIAVILSA","Lithuania",false,,,,,
"Air Luxor GB","L8","LXG","LUXOR GOLF","Guinea-Bissau",true,,,,,
"Air Luxor","LK","LXR","AIRLUXOR","Portugal",true,,,,,
"Apatas Air","","LYT","APATAS","Lithuania",false,,,,,
"Air Ban","","LZP","DOC AIR","Bulgaria",false,,,,,
"Air Lazur","","LZR","LAZUR BEE-GEE","Bulgaria",false,,,,,
"Aerodromo De La Mancha","","MAM","AEROMAN","Spain",false,,,,,
"Air Mauritius","MK","MAU","AIRMAURITIUS","Mauritius",true,,,,,
"Avag Air","","MBA","AVAG AIR","Austria",false,,,,,
"Air Manas","","MBB","AIR MANAS","Kyrgyzstan",false,,,,,
"Airjet Exploracao Aerea De Carga","","MBC","MABECO","Angola",false,,,,,
"Aeriantur-M","","MBV","AEREM","Moldova",false,,,,,
"Air Mercia","","MCB","WESTMID","United Kingdom",false,,,,,
"Air Medical","","MCD","AIR MED","United Kingdom",false,,,,,
"Aerolineas Marcos","","MCO","MARCOS","Mexico",false,,,,,
"Atlantic Aero and Mid-Atlantic Freight","","MDC","NIGHT SHIP","United States",false,,,,,
"Air Madagascar","MD","MDG","AIR MADAGASCAR","Madagascar",true,,,,,
"Aerosud Charter","","MDX","MEDAIR","South Africa",false,,,,,
"Air Meridan","","MEF","EMPENNAGE","Nigeria",false,,,,,
"Aero McFly","","MFL","MCFLY","Mexico",false,,,,,
"Asia Pacific Airlines","","MGE","MAGELLAN","United States",false,,,,,
"Aeromagar","","MGS","AEROMAGAR","Mexico",false,,,,,
"Aero Premier De Mexico","","MIE","AEROPREMIER","Mexico",false,,,,,
"Air Moldova","9U","MLD","AIR MOLDOVA","Moldova",true,,,,,
"Amal Airlines","","MLF","AMAL","Djibouti",false,,,,,
"Air Mali","","MLI","AIR MALI","Mali",false,,,,,
"Air Madeleine","","MLN","AIR MADELEINE","Canada",false,,,,,
"Aermarche","","MMC","AERMARCHE","Italy",false,,,,,
"Air Alsie","","MMD","MERMAID","Denmark",false,,,,,
"Aviation Company Meridian","","MMM","AVIAMERIDIAN","Russia",false,,,,,
"AMP Incorporated","","MMP","AMP-INC","United States",false,,,,,
"Airmax","","MMX","PERUMAX","Peru",false,,,,,
"Aerolineas Amanecer","","MNE","AEROAMANECER","Mexico",false,,,,,
"Aero Mongolia","M0","MNG","AERO MONGOLIA","Mongolia",false,,,,,
"Air Monarch Cargo","","MOC","MONARCH CARGO","Mexico",false,,,,,
"Aeropublicitaria De Angola","","MOP","PUBLICITARIA","Angola",false,,,,,
"Aerolineas De Morelia","","MOR","AEROMORELIA","Mexico",false,,,,,
"Air Plus Comet","A7","MPD","RED COMET","Spain",true,,,,,
"Aeromexpress","QO","MPX","AEROMEXPRESS","Mexico",true,,,,,
"Air ITM","","MQT","MUSKETEER","France",false,,,,,
"Aeromorelos","","MRL","AEROMORELOS","Mexico",false,,,,,
"Aerocharter","","MRM","MARITIME","Canada",false,,,,,
"Abas","","MRP","ABAS","Czech Republic",false,,,,,
"Air Mauritanie","MR","MRT","MIKE ROMEO","Mauritania",true,,,,,
"Air Cairo","","MSC","","Egypt",false,,,,,
"Air Sport","","MSK","AIR SPORT","Bulgaria",false,,,,,
"Aeromas","","MSM","AEROMAS EXPRESS","Uruguay",false,,,,,
"Aerol","","MSO","MESO AMERICANAS","Mexico",false,,,,,
"Aero-Kamov","","MSV","AERAFKAM","Russia",false,,,,,
"Aerotaxis Metropolitanos","","MTB","AEROMETROPOLIS","Mexico",false,,,,,
"Aeromet Linea Aerea","","MTE","AEROMET","Chile",false,,,,,
"Air Metack","","MTK","AIRMETACK","Angola",false,,,,,
"Air Montegomery","","MTY","MONTY","United Kingdom",false,,,,,
"Aerotaxi Mexicano","","MXO","MAXAERO","Mexico",false,,,,,
"Aero Yaqui Mayo","","MYS","AERO YAQUI","Mexico",false,,,,,
"AVC Airlines","","MZK","","Japan",false,,,,,
"Aerovias Montes Azules","","MZL","MONTES AZULES","Mexico",false,,,,,
"Aeroland Airways","3S",,"GREEN BIRD","Greece",true,,,,,
"Astair","8D","EXV","EXPOAVIA","Russian Federation",false,,,,,
"Albarka Air","F4","NBK","AL-AIR","Nigeria",false,,,,,
"ACA-Ancargo Air Sociedade de Transporte de Carga Lda","","NCL","ANCARGO AIR","Angola",false,,,,,
"Aero Servicios de Nuevo Laredo","","NEL","AEROLAREDO","Mexico",false,,,,,
"Angoavia","","NGV","ANGOAVIA","Angola",false,,,,,
"Aeroni","","NID","AERONI","Mexico",false,,,,,
"Aeroejecutiva Nieto","","NIE","AERONIETO","Mexico",false,,,,,
"Aero Contractors","AJ","NIG","AEROLINE","Nigeria",true,,,,,
"Aerokuzbass","","NKZ","NOVOKUZNETSK","Russia",false,,,,,
"Atlantic Airlines","","NPT","NEPTUNE","United Kingdom",false,,,,,
"Atlantic Richfield Company","","NRS","NORTH SLOPE","United States",false,,,,,
"Aerolineas Sosa","","NSO","SOSA","Honduras",false,,,,,
"Aero Norte","","NTD","","Mexico",false,,,,,
"Air Inter Ivoire","","NTV","INTER-IVOIRE","Ivory Coast",false,,,,,
"Aeroservicios De Nuevo Leon","","NUL","SERVICIOS NUEVOLEON","Mexico",false,,,,,
"Avial NV Aviation Company","","NVI","NEW AVIAL","Russia",false,,,,,
"Airwing","","NWG","NORWING","Norway",false,,,,,
"Air Next","","NXA","BLUE-DOLPHIN","Japan",false,,,,,
"Arkhangelsk 2 Aviation Division","","OAO","DVINA","Russia",false,,,,,
"Aerogisa","","OGI","AEROGISA","Mexico",false,,,,,
"Aerolineas Olve","","OLV","OLVE","Mexico",false,,,,,
"Aeromega","","OMG","OMEGA","United Kingdom",false,,,,,
"Air One Nine","","ONR","EDER","Libya",false,,,,,
"Air Ontario","","ONT","ONTARIO","Canada",false,,,,,
"Aerocorp","","ORP","CORPSA","Mexico",false,,,,,
"Action Air","","ORS","AVIATION SERVICE","Italy",false,,,,,
"Aerosan","","OSN","AEROSAN","Mexico",false,,,,,
"Aviapartner Limited Company","","OSO","","Russia",false,,,,,
"Aliparma","","PAJ","ALIPARMA","Italy",false,,,,,
"Air Parabet","","PBT","PARABET","Bangladesh",false,,,,,
"Air Burundi","8Y","PBU","AIR-BURUNDI","Burundi",false,,,,,
"Aeropostal Cargo de Mexico","","PCG","POSTAL CARGO","Mexico",false,,,,,
"Air Pack Express","","PCK","AIRPACK EXPRESS","Spain",false,,,,,
"Air Palace","","PCS","AIR PALACE","Mexico",false,,,,,
"Aeropelican Air Services","OT","PEL","PELICAN","Australia",true,,,,,
"Aerolineas Chihuahua","","PFI","PACIFICO CHIHUAHUA","Mexico",false,,,,,
"Air Cargo Express International","","PFT","PROFREIGHT","United States",false,,,,,
"Al Farana Airline","","PHR","PHARAOH","Egypt",false,,,,,
"Ave.com","","PHW","PHOENIX SHARJAH","United Arab Emirates",false,,,,,
"Air South West","","PIE","PIRATE","United Kingdom",false,,,,,
"Aeroservicios California Pacifico","","PIF","AEROCALPA","Mexico",false,,,,,
"AST Pakistan Airways","","PKA","PAKISTAN AIRWAY","Pakistan",false,,,,,
"Aero Personal","","PNL","AEROPERSONAL","Mexico",false,,,,,
"Aero Servicios Platinum","","PNU","AERO PLATINUM","Mexico",false,,,,,
"Apoyo Aereo","","POY","APOYO AEREO","Mexico",false,,,,,
"Aerotransportes Privados","","PRI","AEROPRIV","Mexico",false,,,,,
"Atlantic Coast Jet","","PRT","PATRIOT","United States",false,,,,,
"Air Paradise International","AD","PRZ","RADISAIR","Indonesia",true,,,,,
"Aeroservicio Sipse","","PSE","SIPSE","Mexico",false,,,,,
"Aeroservicios Corporativos De San Luis","","PSL","CORSAN","Mexico",false,,,,,
"Aerotransportes Privados","","PVA","TRANSPRIVADO","Mexico",false,,,,,
"Aereo Taxi Paraza","","PZA","AEREO PARAZA","Mexico",false,,,,,
"Air Class Lineas Aereas","QD","QCL","ACLA","Uruguay",true,,,,,
"Aviation Consultancy Office","","QEA","","Australia",false,,,,,
"Aero Taxi","","QAT","AIR QUASAR","Canada",false,,,,,
"Aero Taxi Aviation","","QKC","QUAKER CITY","United States",false,,,,,
"Aviation Quebec Labrador","","QLA","QUEBEC LABRADOR","Canada",false,,,,,
"African Safari Airways","QS","QSC","ZEBRA","Kenya",true,,,,,
"Aero Quimmco","","QUI","QUIMMCO","Mexico",false,,,,,
"Alada","","RAD","AIR ALADA","Angola",false,,,,,
"Aerotur-Air","","RAI","DIASA","Kazakhstan",false,,,,,
"Air Center Helicopters","","RAP","RAPTOR","United States",false,,,,,
"Aur Rum Benin","","RBE","RUM BENIN","Benin",false,,,,,
"Aeroserivios Del Bajio","","RBJ","AEROBAJIO","Mexico",false,,,,,
"Airbus France","4Y","RBU","AIRBUS FRANCE","France",false,,,,,
"Air Roberval","","RBV","AIR ROBERVAL","Canada",false,,,,,
"Arubaexel","","RBX","ARUBA","Aruba",false,,,,,
"Air Charters Eelde","","RCC","RACER","Netherlands",false,,,,,
"Aerocer","","RCE","AEROCER","Mexico",false,,,,,
"Aeroflot-Cargo","","RCF","AEROFLOT-CARGO","Russia",false,,,,,
"Air Mobility Command","MC","RCH","REACH","United States",false,,,,,
"Air Cassai","","RCI","AIR CASSAI","Angola",false,,,,,
"Aero Renta De Coahuila","","RCO","AEROCOAHUILA","Mexico",false,,,,,
"Aerocorp","","RCP","AEROCORPSA","Mexico",false,,,,,
"Aerolineas Regionales","","RCQ","REGIONAL CARGO","Mexico",false,,,,,
"Atlantic S.L.","","RCU","AIR COURIER","Spain",false,,,,,
"Air Service Center","","RCX","SERVICE CENTER","Italy",false,,,,,
"Adygeya Airlines","","RDD","ADLINES","Russia",false,,,,,
"Air Ada","","RDM","AIR ADA","Mauritania",false,,,,,
"Aer Arann","RE","REA","AER ARANN","Ireland",true,,,,,
"Aero-Rent","","REN","AERORENT","Mexico",false,,,,,
"Australian Maritime Safety Authority","","RES","RESCUE","Australia",false,,,,,
"Air Austral","UU","REU","REUNION","France",true,,,,,
"Aero-Rey","","REY","AEROREY","Mexico",false,,,,,
"Aero Africa","","RFC","AERO AFRICA","Swaziland",false,,,,,
"Aerotransportes Rafilher","","RFD","RAFHILER","Mexico",false,,,,,
"Argo","","RGO","ARGOS","Dominican Republic",false,,,,,
"Airbourne School of Flying","","RGT","AIRGOAT","United Kingdom",false,,,,,
"Air Archipels","","RHL","ARCHIPELS","France",false,,,,,
"Aviation Ministry of the Interior of the Russian Federation","","RIF","INTERMIN AVIA","Russian Federation",false,,,,,
"Aeris Gestion","","RIS","AERIS","Spain",false,,,,,
"Asian Spirit","6K","RIT","ASIAN SPIRIT","Philippines",true,,,,,
"Aeroservicios Jet","","RJS","ASERJET","Mexico",false,,,,,
"Air Afrique","RK","RKA","AIRAFRIC","Ivory Coast",false,,,,,
"Airlinair","A5","RLA","AIRLINAIR","France",true,,,,,
"Air Nelson","","RLK","","New Zealand",false,,,,,
"Air Leone","","RLL","AEROLEONE","Sierra Leone",false,,,,,
"Aero Lanka","QL","RLN","AERO LANKA","Sri Lanka",true,,,,,
"Air Alize","","RLZ","ALIZE","France",false,,,,,
"Air Amder","","RMD","AIR AMDER","Mauritania",false,,,,,
"Armenian Airlines","","RME","ARMENIAN","Armenia",false,,,,,
"Armenian International Airways","MV","RML","","Armenia",false,,,,,
"Arm-Aero","","RMO","ARM-AERO","Armenia",false,,,,,
"Air Max","","RMX","AEROMAX","Bulgaria",false,,,,,
"Air Salone","20","RNE","AIR SALONE","Sierra Leone",true,,,,,
"Aeronem Air Cargo","","RNM","AEROMNEM","Ecuador",false,,,,,
"Air Cargo Masters","","RNR","RUNNER","United States",false,,,,,
"Armavia","U8","RNV","ARMAVIA","Armenia",true,,,,,
"Aeroeste","","ROE","ESTE-BOLIVIA","Bolivia",false,,,,,
"Aero Gen","","ROH","AEROGEN","Mexico",false,,,,,
"Avior Airlines","","ROI","AVIOR","Venezuela",false,,,,,
"Aeroel Airways","","ROL","AEROEL","Israel",false,,,,,
"Aeromar","BQ","ROM","BRAVO QUEBEC","Dominican Republic",true,,,,,
"Aeroitalia","","ROO","AEROITALIA","Italy",false,,,,,
"Aerodan","","ROD","AERODAN","Mexico",false,,,,,
"AeroRep","P5","RPB","AEROREPUBLICA","Colombia",true,,,,,
"Aerolineas Del Pacifico","","RPC","AEROPACSA","Ecuador",false,,,,,
"Aero Roca","","RRC","AEROROCA","Mexico",false,,,,,
"Aerotransportes Internacionales De Torreon","","RRE","AERO TORREON","Mexico",false,,,,,
"Acvila Air-Romanian Carrier","","RRM","AIR ROMANIA","Romania",false,,,,,
"Aerolineas Ejecutivas Tarascas","","RSC","TARASCAS","Mexico",false,,,,,
"Aero-Service","BF","RSR","CONGOSERV","Republic of the Congo",false,,,,,
"Aerosur","5L","RSU","AEROSUR","Bolivia",true,,,,,
"Aeronorte","","RTE","LUZAVIA","Portugal",true,,,,,
"Artis","","RTH","ARTHELICO","France",false,,,,,
"Arhabaev Tourism Airlines","","RTO","ARTOAIR","Kazakhstan",false,,,,,
"Air Turquoise","","RTQ","TURQUOISE","France",false,,,,,
"Aerotucan","","RTU","AEROTUCAN","Mexico",false,,,,,
"Air Anastasia","","RUD","ANASTASIA","Ukraine",false,,,,,
"Air Rum","","RUM","AIR RUM","Sierra Leone",false,,,,,
"ACT Havayollari","","RUN","CARGO TURK","Turkey",false,,,,,
"Air VIP","","RVP","AEROVIP","Portugal",false,,,,,
"Aircompany Veteran","","RVT","AIR-VET","Armenia",false,,,,,
"Alliance Express Rwanda","","RWB","","Rwanda",false,,,,,
"Arrow Ecuador Arrowec","","RWC","ARROWEC","Ecuador",false,,,,,
"Aerogroup 98 Limited","","RWY","TYNWALD","United Kingdom",false,,,,,
"Aeroxtra","","RXT","AERO-EXTRA","Mexico",false,,,,,
"Express Air Charter","","RXX","REX AIR","Canada",false,,,,,
"Air Whitsunday","","RWS","","Australia",false,,,,,
"Aero Zambia","","RZL","AERO ZAMBIA","Zambia",false,,,,,
"Aero Zano","","RZN","ZANO","Mexico",false,,,,,
"Anoka Air Charter","","RZZ","RED ZONE","United States",false,,,,,
"Aerosaab","","SBH","AEROSAAB","Mexico",false,,,,,
"Associated Aviation","","SCD","ASSOCIATED","Nigeria",false,,,,,
"American Jet International","","SCM","SCREAMER","United States",false,,,,,
"Air Santo Domingo","EX","SDO","AERO DOMINGO","Dominican Republic",true,,,,,
"Aero Sudpacifico","","SDP","SUDPACIFICO","Mexico",false,,,,,
"Aero Servicios Ejecutivas Del Pacifico","","SEF","SERVIPACIFICO","Mexico",false,,,,,
"Aero California","JR","SER","AEROCALIFORNIA","Mexico",true,,,,,
"A-Safar Air Services","","SFM","AIR SAFAR","Nigeria",false,,,,,
"Aerosegovia","","SGV","SEGOVIA","Nicaragua",false,,,,,
"Airshare Holdings","","SHH","AIRSHARE","United Kingdom",false,,,,,
"Aerosiyusa","","SIY","SIYUSA","Mexico",false,,,,,
"Aero Silza","","SIZ","AEROSILZA","Mexico",false,,,,,
"Air San Juan","","SJN","SAN JUAN","United States",false,,,,,
"Aero-North Aviation Services","","SKP","SKIPPER","Canada",false,,,,,
"Aero Sami","","SMI","SAMI","Mexico",false,,,,,
"Avient Aviation","Z3","SMJ","AVAVIA","Zimbabwe",true,,,,,
"Aerolineas Sol","","SOD","ALSOL","Mexico",false,,,,,
"Air Soleil","","SOE","AIR SOLEIL","Mauritania",false,,,,,
"Aero Soga","","SOG","AEROSOGA","Guinea-Bissau",false,,,,,
"Airspeed Aviation","","SPD","SPEEDLINE","Canada",false,,,,,
"Aeroservicios Ejecutivos Del Pacifico","","SPO","EJECTUIV PACIFICO","Mexico",false,,,,,
"Asian Aerospace Service","","SPY","THAI SPACE","Thailand",false,,,,,
"Airworld","","SPZ","SPEED SERVICE","South Africa",false,,,,,
"Alsaqer Aviation","","SQR","ALSAQER AVIATION","Libya",false,,,,,
"Air Safaris and Services","","SRI","AIRSAFARI","New Zealand",false,,,,,
"Aero Servicio Corporativo","","SRV","SERVICORP","Mexico",false,,,,,
"Air Sultan","","SSL","SIERRA SULTAN","Sierra Leone",false,,,,,
"Aero 1 Pro-Jet","","SSM","RAPID","Canada",false,,,,,
"Airquarius Air Charter","","SSN","SUNSTREAM","South Africa",false,,,,,
"Aeropac","","STK","SAT PAK","United States",false,,,,,
"Air St. Thomas","","STT","PARADISE","United States",false,,,,,
"Aerolineas Del Sureste","","SUE","AEROSURESTE","Mexico",false,,,,,
"Aerial Surveys (1980) Limited","","SUY","SURVEY","New Zealand",false,,,,,
"Air Slovakia","GM","SVK","SLOVAKIA","Slovakia",true,,,,,
"Adler Aviation","","SWH","SHOCKWAVE","Canada",false,,,,,
"Aircompany Yakutia","R3","SYL","AIR YAKUTIA","Russia",true,,,,,
"Aerosud Aviation","","SYT","SKYTRACK","South Africa",false,,,,,
"Aeroservicios de La Costa","","TAA","AERO COSTA","Mexico",false,,,,,
"Aeromar","VW","TAO","TRANS-AEROMAR","Mexico",true,,,,,
"Aerotrebol","","TBL","AEROTREBOL","Mexico",false,,,,,
"Aero Taxi de Los Cabos","","TBO","AERO CABOS","Mexico",false,,,,,
"Air Turks and Caicos","JY","TCI","KERRMONT","Turks and Caicos Islands",true,,,,,
"Aerotranscolombina de Carga","","TCO","TRANSCOLOMBIA","Colombia",false,,,,,
"Air Cargo Express","","TDG","TURBO DOG","United States",false,,,,,
"Atlas Helicopters","","TDT","TRIDENT","United Kingdom",false,,,,,
